PA_meanCSA,PA_meanCSA_u,PA_meanCSA_l,PA_maxCSA,PA_maxCSA_u,PA_maxCSA_l,JOG_meanCSA,JOG_meanCSA_u,JOG_meanCSA_l,JOG_maxCSA,JOG_maxCSA_u,JOG_maxCSA_l
0.049547259,0.074244047,0.033065693,0.036000574,3.159094942,1.747184175,0.008813298,0.011042718,0.007033977,0.011395262,0.031177661,0.004164905
0.155059543,0.261506936,0.091941967,0.350134937,0.097972913,0.013228568,0.020918497,0.028665994,0.015264899,0.013782297,0.037669805,0.005042545
0.456862873,0.861785658,0.24219907,0.526876661,0.948807759,0.129208971,0.024428606,0.034018571,0.017542088,0.01868223,0.050984354,0.006845742
0.625837591,1.219657,0.321133474,0.704441735,1.427931793,0.194406355,0.03062105,0.043652091,0.021480042,0.030460042,0.082948247,0.011185458
1.064650755,2.192267968,0.517035895,1.164442005,1.909656565,0.259857278,0.03835967,0.055975731,0.02628754,0.034845074,0.094839908,0.012802408
1.821486821,3.965328797,0.83670596,1.78100392,4.836510273,0.429213179,0.331279262,0.604425567,0.18157066,0.330592635,0.895854808,0.121996878
3.070183133,7.055253347,1.336029198,2.573515376,6.996211833,0.6558396,0.406560843,0.757686238,0.218153255,0.424282639,1.149765997,0.1565673
3.070183133,7.055253347,1.336029198,4.760702762,12.97189564,0.946652496,0.625837591,1.219657,0.321133474,0.559785696,1.517185404,0.206540364
7.646279969,19.31357299,3.027176659,12.03624066,32.94765074,4.397008164,0.644515697,1.259891123,0.329711414,0.704441735,1.909656565,0.259857278
,,,,,,0.83217453,1.670375249,0.414586153,1.040510222,2.822283856,0.383611847
,,,,,,2.124319031,4.698878706,0.960384727,2.29961564,6.249394554,0.846199107
,,,,,,5.380626009,13.10480781,2.209199607,7.869440433,21.49247833,2.881384444
